"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Navigation and Menu Functionality","5","0","","0"
"0","","0","Get All Books","2","0","","0"
"0","","2","Checkout functionality","2","0","","0"
"1","","0","Shopping Cart Functionality","5","0","","0"
"0","","2","Test website frontend functionality","2","0","","0"
"3","","0","Delete Book","1","0","","0"
"0","","3","Inventory Functionality","4","0","","0"
"0","","0","Login Functionality","8","0","","0"
"3","","0","Create Book","7","0","","0"
"5","","0","Update Book","6","0","","0"
"1","","1","Product Details Functionality","2","0","","0"
"2","","0","Get Book by ID","2","0","","0"
"0","","0","Footer Functionality","3","0","","0"
"0","","2","Error Validation","2","0","","0"
"0","","0","Testing the Base API for Unauthorized Access","1","0","","0"
