"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","925","Successful login with standard user","","Sat Jan 04 01:04:59 GMT 2025","passed","Sat Jan 04 01:05:00 GMT 2025","","","",""
"","82","Attempt to update book with numeric author name","","Sat Jan 04 01:01:20 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","454","View product details","","Sat Jan 04 01:05:33 GMT 2025","passed","Sat Jan 04 01:05:34 GMT 2025","","","",""
"","877","Login with empty credentials","","Sat Jan 04 01:05:08 GMT 2025","passed","Sat Jan 04 01:05:08 GMT 2025","","","",""
"","1369","Navigate to All Items","","Sat Jan 04 01:05:13 GMT 2025","passed","Sat Jan 04 01:05:14 GMT 2025","","","",""
"","93","Attempt to delete a book with user","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","400","Verify copyright text","","Sat Jan 04 01:04:54 GMT 2025","passed","Sat Jan 04 01:04:54 GMT 2025","","","",""
"","85","Attempt to create a book with invalid data","","Sat Jan 04 01:01:18 GMT 2025","broken","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","94","Create a new book successfully without ID","","Sat Jan 04 01:01:18 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","1346","Logout","","Sat Jan 04 01:05:21 GMT 2025","passed","Sat Jan 04 01:05:22 GMT 2025","","","",""
"","503","Back to products from details","","Sat Jan 04 01:06:25 GMT 2025","passed","Sat Jan 04 01:06:25 GMT 2025","","","",""
"","81","Attempt to update book with user","","Sat Jan 04 01:01:20 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","81","Attempt to update book without ID","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","83","Attempt to update book with empty author field","","Sat Jan 04 01:01:20 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","2998","Validate maximum length of input fields","","Sat Jan 04 01:04:40 GMT 2025","passed","Sat Jan 04 01:04:43 GMT 2025","","","",""
"","407","Verify inventory page elements","","Sat Jan 04 01:04:56 GMT 2025","passed","Sat Jan 04 01:04:56 GMT 2025","","","",""
"As a user
  I want to be able to checkout items
  So that I can complete my purchase","8639","Successfully checkout items from cart","","Sat Jan 04 01:03:08 GMT 2025","passed","Sat Jan 04 01:03:17 GMT 2025","","","",""
"","484","Sort products by price (high to low)","","Sat Jan 04 01:04:57 GMT 2025","failed","Sat Jan 04 01:04:58 GMT 2025","","","",""
"","878","Login with empty password","","Sat Jan 04 01:05:08 GMT 2025","passed","Sat Jan 04 01:05:09 GMT 2025","","","",""
"As a user
  I want to be able to checkout items
  So that I can complete my purchase","6514","Return to products page using Continue Shopping button","","Sat Jan 04 01:04:28 GMT 2025","passed","Sat Jan 04 01:04:34 GMT 2025","","","",""
"","404","Verify social media links","","Sat Jan 04 01:04:54 GMT 2025","passed","Sat Jan 04 01:04:54 GMT 2025","","","",""
"","454","Create a new book successfully without ID","","Sat Jan 04 01:01:18 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","79","Attempt to update book with invalid ID format","","Sat Jan 04 01:01:20 GMT 2025","passed","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","85","Attempt to create a book without authentication","","Sat Jan 04 01:01:18 GMT 2025","passed","Sat Jan 04 01:01:18 GMT 2025","","","",""
"","589","Check the required field in checkout stage","","Sat Jan 04 01:05:27 GMT 2025","passed","Sat Jan 04 01:05:28 GMT 2025","","","",""
"","516","Add single item to cart","","Sat Jan 04 01:02:15 GMT 2025","passed","Sat Jan 04 01:02:15 GMT 2025","","","",""
"","83","Attempt to update book with extra fields","","Sat Jan 04 01:01:20 GMT 2025","broken","Sat Jan 04 01:01:20 GMT 2025","","","",""
"","443","Open burger menu","","Sat Jan 04 01:05:11 GMT 2025","passed","Sat Jan 04 01:05:12 GMT 2025","","","",""
"","466","View product details","","Sat Jan 04 01:04:58 GMT 2025","passed","Sat Jan 04 01:04:58 GMT 2025","","","",""
"","85","Attempt to create a book with numeric author name","","Sat Jan 04 01:01:18 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","84","Delete an existing book successfully","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
"","904","Login with invalid username","","Sat Jan 04 01:05:09 GMT 2025","passed","Sat Jan 04 01:05:10 GMT 2025","","","",""
"","457","Add product to cart from inventory","","Sat Jan 04 01:04:58 GMT 2025","passed","Sat Jan 04 01:04:59 GMT 2025","","","",""
"","425","Display different product images in the product cart","","Sat Jan 04 01:05:27 GMT 2025","failed","Sat Jan 04 01:05:27 GMT 2025","","","",""
"","81","Attempt to delete a non-existent book","","Sat Jan 04 01:01:19 GMT 2025","broken","Sat Jan 04 01:01:19 GMT 2025","","","",""
